# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
0.100000 0.100000 0.037000 6.192037 0.410137 0.450188 0.100004 0.100004
0.100000 0.100000 0.001000 1.087908 0.478547 0.998877 0.100000 0.100000
0.100000 0.100000 0.002000 3.899502 1.322997 0.990428 0.100000 0.100000
0.100000 0.100000 0.006000 1.648930 -0.585532 0.889200 0.100001 0.100001
0.100000 0.100000 0.034000 1.177898 0.185355 0.471255 0.100004 0.100004
0.100000 0.100000 0.017000 1.633817 0.934316 0.659051 0.100003 0.100000
0.100000 0.100000 0.011000 1.627134 0.267728 0.777343 0.100001 0.100001
0.100000 0.100000 0.020000 3.642176 -1.268357 0.614188 0.100002 0.100002
0.100000 0.100000 0.035000 3.463397 -1.083828 0.464207 0.100004 0.100004
0.100000 0.100000 0.003000 0.975343 0.907438 0.971272 0.100000 0.100000
0.100000 0.100000 0.013000 2.972424 -0.953812 0.733725 0.100001 0.100001
0.100000 0.100000 0.008000 2.386566 1.047384 0.844958 0.100002 0.100000
0.100000 0.100000 0.015000 1.926206 -0.554697 0.694154 0.100002 0.100001
0.100000 0.100000 0.002000 2.415509 1.384417 0.990427 0.100000 0.100000
0.100000 0.100000 0.010000 0.598069 -0.467443 0.797892 0.100001 0.100001
0.100000 0.100000 0.026000 5.516763 -0.562345 0.541996 0.100005 0.100000
0.100000 0.100000 0.101000 4.355783 0.803479 0.248805 0.100013 0.100013
0.100000 0.100000 0.032000 2.816479 0.593647 0.486855 0.100003 0.100003
0.100000 0.100000 0.000000 1.838992 -0.081400 0.996687 0.100000 0.100000
0.100000 0.100000 0.006000 1.748312 -0.449302 0.889200 0.100001 0.100001
0.100000 0.100000 0.016000 5.185765 -0.607263 0.677369 0.100001 0.100001
0.100000 0.100000 0.420000 5.717167 1.024859 0.053108 0.100025 0.100003
0.100000 0.100000 0.032000 6.108430 0.364111 0.486852 0.100003 0.100003
0.100000 0.100000 0.026000 4.809064 -0.635422 0.542007 0.100005 0.100000
0.100000 0.100000 0.009000 0.167297 1.028171 0.824841 0.100002 0.100000
0.100000 0.100000 0.377000 2.185693 1.251545 0.060383 0.100014 0.100014
0.100000 0.100000 0.386000 1.718627 -1.052071 0.058783 0.100025 0.100003
0.100000 0.100000 0.044000 1.550896 0.307244 0.409296 0.100005 0.100005
0.100000 0.100000 0.012000 2.120552 0.065490 0.755250 0.100001 0.100001
0.100000 0.100000 0.006000 4.196712 0.532785 0.889203 0.100001 0.100001
0.100000 0.100000 0.167000 0.492587 1.280434 0.164498 0.100014 0.100014
0.100000 0.100000 0.009000 1.699793 -1.405406 0.824828 0.100002 0.100000
0.100000 0.100000 0.007000 3.169478 -0.858089 0.871097 0.100001 0.100000
0.100000 0.100000 0.002000 3.700236 0.495574 0.990428 0.100000 0.100000
0.100000 0.100000 0.002000 5.150695 1.207868 0.990428 0.100000 0.100000
0.100000 0.100000 0.010000 2.008805 -1.101437 0.797883 0.100001 0.100001
