# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.688571 0.315830 0.089995 0.671756 0.459876 0.459876
0.511966 0.413318 0.082188 0.594595 0.459623 0.459623
0.666959 0.324677 0.052060 0.796416 0.565638 0.376640
0.563263 0.377799 0.174079 0.412416 0.459885 0.459885
0.954090 0.241572 0.037008 0.855570 0.914448 0.249924
0.911862 0.250382 0.003932 0.994765 0.914923 0.249715
0.738524 0.297529 0.190650 0.461770 0.525546 0.404522
0.692411 0.314321 0.136090 0.555418 0.460048 0.460048
0.717600 0.304859 0.097318 0.653832 0.459949 0.459949
0.468656 0.450517 0.007712 0.981889 0.459487 0.459487
0.810844 0.275290 0.156020 0.531785 0.563618 0.378849
0.907144 0.251418 0.018541 0.945326 0.879672 0.257723
0.792813 0.280433 0.126579 0.589883 0.460175 0.460175
0.881120 0.257338 0.002778 0.988142 0.879739 0.257661
0.889027 0.255502 0.187232 0.471087 0.730935 0.301106
0.624472 0.344052 0.085315 0.674122 0.459777 0.459777
0.893262 0.254532 0.050617 0.798032 0.825846 0.271376
0.630379 0.341184 0.037993 0.858088 0.565419 0.376646
0.548194 0.387437 0.082965 0.624427 0.459659 0.459659
0.876281 0.258478 0.091611 0.666967 0.668126 0.324833
0.490234 0.431011 0.061670 0.662749 0.459569 0.459569
0.925170 0.247518 0.046297 0.818207 0.879375 0.257885
0.592269 0.360821 0.055485 0.776452 0.459659 0.459659
0.641744 0.335831 0.163447 0.482266 0.460030 0.460030
0.956479 0.241097 0.022269 0.923079 0.932122 0.246105
0.576256 0.369953 0.125287 0.518140 0.459804 0.459804
0.956342 0.241124 0.055358 0.781364 0.897769 0.253689
0.856071 0.263386 0.136435 0.572320 0.525546 0.404522
0.597118 0.358165 0.135794 0.510827 0.459858 0.459858
0.939439 0.244538 0.145701 0.552644 0.689672 0.316429
0.921736 0.248249 0.120323 0.602812 0.667629 0.325308
0.765335 0.288763 0.190436 0.462119 0.593480 0.361363
0.582673 0.366225 0.028635 0.897368 0.527924 0.401543
0.602542 0.355252 0.161472 0.461638 0.459921 0.459921
0.461108 0.457858 0.072643 0.607455 0.459587 0.459587
0.599186 0.357048 0.037311 0.856162 0.459605 0.459605
0.679339 0.319534 0.051830 0.796722 0.564725 0.377217
0.718318 0.304600 0.125952 0.583458 0.460057 0.460057
0.610377 0.351147 0.006512 0.977325 0.595740 0.358930
0.874555 0.258888 0.188899 0.466126 0.710909 0.308312
0.801245 0.277998 0.092820 0.665383 0.594488 0.360318
0.713737 0.306264 0.038559 0.857189 0.667530 0.324583
0.946077 0.243183 0.116379 0.609940 0.644898 0.335383
0.918721 0.248895 0.124017 0.595966 0.594929 0.360523
0.582556 0.366292 0.136845 0.495795 0.459840 0.459840
0.786768 0.282213 0.020688 0.937598 0.769277 0.287576
