# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.484886 0.484886 0.148928 0.425392 0.510414 0.461420
0.202117 0.202117 0.072100 0.429940 0.202147 0.202147
0.296109 0.296109 0.071862 0.510214 0.296159 0.296159
0.961725 0.961725 0.121848 0.633711 0.962383 0.962383
0.949016 0.949016 0.078756 0.746259 0.949451 0.949451
0.893642 0.893642 0.081815 0.725973 0.894030 0.894030
0.681770 0.681770 0.101980 0.603730 0.682082 0.682082
0.292442 0.292442 0.142030 0.345609 0.292558 0.292558
0.870564 0.870564 0.197802 0.468734 0.941748 0.807704
0.685092 0.685092 0.109909 0.582960 0.685436 0.685436
0.991650 0.991650 0.056289 0.832365 0.991909 0.991909
0.523316 0.523316 0.015458 0.955172 0.523334 0.523334
0.656465 0.656465 0.088894 0.633657 0.656719 0.656719
0.354400 0.354400 0.094562 0.476561 0.354491 0.354491
0.978403 0.978403 0.009704 0.985226 0.999997 0.957447
0.705761 0.705761 0.032665 0.886734 0.705834 0.705834
0.496478 0.496478 0.023190 0.888224 0.496503 0.496503
0.360719 0.360719 0.125478 0.407142 0.386053 0.337612
0.557141 0.557141 0.156766 0.441759 0.557539 0.557539
0.176417 0.176417 0.126967 0.286267 0.189027 0.164890
0.483715 0.483715 0.049809 0.712872 0.511287 0.458033
0.771145 0.771145 0.151615 0.520046 0.771725 0.771725
0.880373 0.880373 0.062615 0.787691 0.880614 0.880614
0.391299 0.391299 0.187447 0.333651 0.423996 0.362051
0.193667 0.193667 0.008573 0.921834 0.193669 0.193669
0.821897 0.821897 0.088173 0.668726 0.904923 0.748375
0.455349 0.455349 0.182544 0.366438 0.475102 0.437203
0.664991 0.664991 0.091001 0.626604 0.691318 0.640324
0.330393 0.330393 0.022698 0.833090 0.330410 0.330410
0.121610 0.121610 0.194897 0.167258 0.137260 0.108094
