# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
1.000000 1.000000 0.000000 1.804061 -0.883903 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 1.084758 -1.472142 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 2.278820 -1.086088 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.266967 -1.150767 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.309590 0.144047 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 2.083453 1.127381 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 3.657004 -0.755957 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 0.706935 -1.434574 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 2.200702 -0.640102 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 4.960005 0.970965 0.977915 0.999969 0.999969
1.000000 1.000000 0.018000 5.226958 -0.987794 0.894257 0.999969 0.999969
1.000000 1.000000 0.004000 1.248453 -0.356259 0.975191 0.999969 0.999969
1.000000 1.000000 0.000000 3.361269 -1.235468 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 2.319671 0.579129 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 3.216350 0.448274 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 3.834359 0.121331 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 5.406915 -0.935559 0.977915 0.999969 0.999969
1.000000 1.000000 0.005000 2.055137 0.893933 0.973546 0.999969 0.999969
1.000000 1.000000 0.002000 5.580164 0.216582 0.977259 0.999969 0.999969
1.000000 1.000000 0.001000 5.841215 -1.363564 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 2.103313 -0.594296 0.977915 0.999969 0.999969
1.000000 1.000000 0.063000 1.217138 1.002128 0.613043 0.999969 0.999969
1.000000 1.000000 0.000000 4.735714 1.316670 0.977915 0.999969 0.999969
1.000000 1.000000 0.004000 0.875339 0.446721 0.975191 0.999969 0.999969
1.000000 1.000000 0.072000 5.018355 -1.419431 0.572467 0.999969 0.999969
1.000000 1.000000 0.000000 5.027231 0.568512 0.977915 0.999969 0.999969
1.000000 1.000000 0.005000 3.146509 0.002099 0.973546 0.999969 0.999969
1.000000 1.000000 0.000000 0.937314 -0.100319 0.977915 0.999969 0.999969
1.000000 1.000000 0.015000 1.695637 0.068850 0.922428 0.999969 0.999969
1.000000 1.000000 0.002000 4.237895 0.626454 0.977259 0.999969 0.999969
1.000000 1.000000 0.006000 5.862881 -0.454214 0.971427 0.999969 0.999969
